then69,Duc Thang,12/02/2000,Hội An,111111111,0916890776,t@gmail.com,đại học,giám đốc,30
toan22,Duc Toan,12/02/2000,Hội An,222222222,0916890776,t@gmail.com,đại học,giám đốc,30
tran11,Duc Tran,12/02/2000,Hội An,333333333,0916890776,t@gmail.com,đại học,giám đốc,30
ba05,Hung Ba,12/02/2000,Hội An,444444444,0916890776,t@gmail.com,đại học,giám đốc,30
tuong54,Tuong vi,11/09/2000,Hoi An,555555555,1234567899,vi@gmail.com,đại học,giám đốc,30000
hung01,Tran Hung,12/02/2000,Seoul,123456789,1234567899,hugn@gmail.com,cao đẳng,phục vụ,69
hien02,Tran Hien,12/02/2000,Seoul,999999999,1234567899,hugn@gmail.com,cao đẳng,phục vụ,69
thanh02,Tran Thanh,12/02/2000,Seoul,999999999,1234567899,hugn@gmail.com,cao đẳng,phục vụ,69
hoai01,Thi Hoai,12/02/2000,Seoul,999999999,1234567899,hugn@gmail.com,cao đẳng,phục vụ,69
phuoc03,Mai Phuoc,12/02/2000,Seoul,999999999,1234567899,hugn@gmail.com,cao đẳng,phục vụ,69
